origin_id,canonical_name,aliases,geo_type,parent_path,hierarchy_path,source_section,source_line,mapping_status,coordinate_status,coordinate_eligible,in_total_master,in_human_summary,in_existing_origin_master,conflict_flags,source_reference,notes
OMR-6439810B6C,西双版纳傣族自治州,,prefecture_city,云南省,云南省/西双版纳傣族自治州,西双版纳｜易武 / 勐腊,66,需人工确认,HIERARCHY_ONLY,unassessed,no,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:66,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-0EB724AA4F,勐腊县,,county,云南省/西双版纳傣族自治州,云南省/西双版纳傣族自治州/勐腊县,西双版纳｜易武 / 勐腊,67,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:67,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-1B5A79D893,易武镇,,township,云南省/西双版纳傣族自治州/勐腊县,云南省/西双版纳傣族自治州/勐腊县/易武镇,西双版纳｜易武 / 勐腊,69,可自动填充,HIERARCHY_ONLY,unassessed,no,no,yes,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:69,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-7E9CD7CAD9,麻黑村委会,,administrative_village,云南省/西双版纳傣族自治州/勐腊县/易武镇,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会,西双版纳｜易武 / 勐腊,71,需人工确认,HIERARCHY_ONLY,unassessed,no,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:71,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-899CE5419A,刮风寨,,natural_village,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会/刮风寨,西双版纳｜易武 / 勐腊,72,可自动填充,HIERARCHY_ONLY,unassessed,yes,yes,yes,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:72,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-3AB33E316A,茶王树,,microregion,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会/刮风寨,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会/刮风寨/茶王树,西双版纳｜易武 / 勐腊,73,需人工确认,HIERARCHY_ONLY,unassessed,yes,yes,yes,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:73,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-8CDE6446FA,茶坪,,待人工判定,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会/刮风寨,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会/刮风寨/茶坪,西双版纳｜易武 / 勐腊,74,需人工确认,HIERARCHY_ONLY,unassessed,yes,yes,yes,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:74,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-56833F0B88,白沙河,,待人工判定,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会/刮风寨,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会/刮风寨/白沙河,西双版纳｜易武 / 勐腊,75,需人工确认,HIERARCHY_ONLY,unassessed,yes,yes,yes,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:75,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-63CE3ABCB5,三家村 / 三家寨,,natural_village,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会/刮风寨,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会/刮风寨/三家村 / 三家寨,西双版纳｜易武 / 勐腊,76,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,compound_or_alias_name,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:76,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-D309411948,冷水河,,待人工判定,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会/刮风寨,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会/刮风寨/冷水河,西双版纳｜易武 / 勐腊,77,需人工确认,HIERARCHY_ONLY,unassessed,yes,yes,yes,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:77,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
